 name	GO
PF3D7_1107400	RAD51	GO:0003677
PF3D7_0409400	DnaJ	GO:0003677
PF3D7_1223300	GyrA	GO:0003677
PF3D7_1347500	ALBA4	GO:0003677
PF3D7_1333700	CenH3	GO:0003677
PF3D7_1239200	ApiAP2	GO:0003677
PF3D7_0414900	ARO	GO:0003677
PF3D7_0320900	H2A.Z	GO:0003677
PF3D7_1415800	KsgA1	GO:0003677
PF3D7_1346300	ALBA2	GO:0003677
PF3D7_0817900	HMGB2	GO:0003677
PF3D7_1411600	Obg1	GO:0003677
PF3D7_0408900	KAE1	GO:0003677
PF3D7_0404100	ApiAP2	GO:0003677
PF3D7_1030600	KAE1	GO:0000408
PF3D7_0511700	CGI121	GO:0000408
PF3D7_0708300	BUD32	GO:0000408
PF3D7_0206000	RAD2	GO:0000781
PF3D7_0517900	PF3D7_0517900	GO:0000781
PF3D7_1429900	WRN	GO:0000781
PF3D7_1033700	BDP1	GO:0000781
PF3D7_0622900	AP2Tel	GO:0000781
PF3D7_0612200	LRR6	GO:0000781
PF3D7_1117800	MLH	GO:0000781
PF3D7_1209300	TRZ	GO:0000781
PF3D7_1220900	HP1	GO:0000785
PF3D7_1455800	CCp2	GO:0032991
PF3D7_0320900	H2A.Z	GO:0000786
PF3D7_0714000	H2B.Z	GO:0000786
PF3D7_0617900	H3.3	GO:0000791
PF3D7_0714000	H2B.Z	GO:0000791
PF3D7_1220900	HP1	GO:0000792
PF3D7_1203200	SRP14	GO:0005789
PF3D7_1450100	SRP54	GO:0005789
PF3D7_0729000	SRP9	GO:0005789
PF3D7_1216300	SRP19	GO:0005789
PF3D7_1422500	HRD1	GO:0005789
PF3D7_0814200	ALBA1	GO:0000900
PF3D7_1107400	RAD51	GO:0006310
PF3D7_0918600	BLM	GO:0032508
PF3D7_0630900	HAS1	GO:0032508
PF3D7_0807100	PSH3	GO:0032508
PF3D7_1429900	WRN	GO:0032508
PF3D7_1459000	DBP5	GO:0032508
PF3D7_0112000	TatD	GO:0006259
PF3D7_1315800	MYB1	GO:0003700
PF3D7_1011800	PREBP	GO:0003700
PF3D7_0506200	TBP	GO:0006366
PF3D7_1209300	TRZ	GO:0080084
PF3D7_1312000	MCAT	GO:0006633
PF3D7_0211400	KASIII	GO:0006633
PF3D7_1033700	BDP1	GO:0001047
PF3D7_1015900	ENO	GO:0005856
PF3D7_0409600	RPA1	GO:0006260
PF3D7_0402300	RH1	GO:0016337
PF3D7_0212600	SPATR	GO:0016337
PF3D7_0707300	RAMA	GO:0016337
PF3D7_1149000	Pf332	GO:0016337
PF3D7_0102500	EBA181	GO:0016337
PF3D7_0932200	PFN	GO:0005543
PF3D7_1035700	DBLMSP	GO:0001791
PF3D7_1036300	DBLMSP2	GO:0001791
PF3D7_0315100	eIF4E	GO:0006413
PF3D7_0315200	CTRP	GO:0034235
PF3D7_1202900	HMGB1	GO:0001819
PF3D7_1220900	HP1	GO:0008283
PF3D7_1211900	ATP4	GO:0002028
PF3D7_0217500	CDPK1	GO:0006468
PF3D7_1238900	PK2	GO:0006468
PF3D7_0717500	CDPK4	GO:0006468
PF3D7_0217500	CDPK1	GO:0006468
